occurrence_id,movie_id,movie_title,genre,director_name,director_id,oscar_year,won_oscar,exact_word,surrounding_text,linguistic_context,timestamp,total_count_fucks,average_fucks_per_hour,synopsis,image
27,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,put up with this fuckin' brasciole here.,general_expletive,"00:11:42,260",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
28,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,"He's a fuckin' heavyweight, you're a middleweight.",insult,"00:12:56,670",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
29,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,Fuckin,Fuckin' nut.,general_expletive,"00:13:56,060",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
30,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,"with everything you got. I want you to fuckin' lay me out, go ahead.",insult,"00:14:17,990",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
31,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,"- Harder. - That's hard, you fuck.",insult,"00:14:30,370",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
32,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,- Come on. - Don't fuck around.,general_expletive,"00:14:38,740",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
33,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,"No, your fuckin' cuts are opening and everything.",exclamation_shock,"00:14:46,510",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
34,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fucker,- I heard this fucker didn't win the fight. - Take it easy.,general_expletive,"00:15:48,710",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
35,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,What the fuck is wrong with you?! You gotta make a fuckin' jerk outta me.,insult,"00:16:32,820",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
36,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,What the fuck is wrong with you?! You gotta make a fuckin' jerk outta me.,insult,"00:16:32,820",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
37,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,I'm a jerk? You're a fuckin' asshole.,insult,"00:16:55,580",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
38,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,"What the fuck you hittin' me, huh?!",insult,"00:16:58,250",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
39,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,"Yeah, yeah, ya fuckin' hard-on, try this.",general_expletive,"00:17:00,720",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
40,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,Ya fuck!,general_expletive,"00:17:12,090",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
41,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,"She's 15 years old, where the fuck's she gonna go?",general_expletive,"00:18:16,520",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
42,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,She ain't the kinda girl you just fuck and forget about.,insult,"00:18:34,210",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
43,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,You went with her? You didn't try to fuck her?,insult,"00:19:10,510",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
44,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,"I try to fuck anything, you know that.",insult,"00:19:12,980",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
45,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,"Hey, like the big man. Get the fuck outta here.",general_expletive,"00:19:51,520",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
46,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,"Keep lookin'. Where the fuck you goin'? You're dead, you're married.",insult,"00:20:18,280",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
47,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,Fuckin,"Fuckin' worm. You go out, I'm goin' out.",insult,"00:20:44,810",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
48,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,Fuckin,Fuckin' bunch of guineas.,general_expletive,"00:20:51,650",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
49,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,Why don't you fuckin' stop? You're not goin' on business.,insult,"00:20:54,450",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
50,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,"with that fuckin' dog, and this one up there.",general_expletive,"00:21:04,790",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
51,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,Fuckin,"Fuckin' Jew cunt, why don't you hit her in the head with a bat?",insult,"00:21:07,260",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
52,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,- What am I supposed to do? - Kill the fuck.,exclamation_shock,"00:21:12,900",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
53,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,"You and your fuckin' ass... you, too ya... go out!",insult,"00:21:17,100",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
54,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,- What's the matter with you?! - What the fuck's the matter with you?,insult,"00:21:20,010",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
55,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,"- What's the matter with you?! - I could give a shit, ya fuckin' queer!",insult,"00:21:24,210",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
56,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,motherfuckin,"Nothing. I got trouble with these two motherfuckin' greaseballs downstairs,",compound_expletive,"00:22:19,400",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
57,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,"Get the fuck out, you greaseball bastard!",insult,"00:23:55,060",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
58,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,"Get outta here, ya fuckin' bum, ya!",general_expletive,"00:24:00,370",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
59,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,Cocksuckers! I'd like to fuckin'...,general_expletive,"00:39:35,200",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
60,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,They only gave him that fuckin' decision,insult,"00:39:45,350",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
61,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,"the fuckin' ass, that's why!",general_expletive,"00:39:57,690",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
62,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,Where'd I get it? Did I pull it out of the fuckin' air?,general_expletive,"00:44:18,950",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
63,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,"- Not a bad kid, that Vickie, ya know. - She's with that fuckin' gorilla.",general_expletive,"00:51:28,980",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
64,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,"I'm only kiddin' you, what a fuckin' kid.",insult,"00:53:21,090",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
65,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,"- That's the best fuckin' fighter around. - Hey, Jake.",general_expletive,"00:53:23,930",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
66,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,"I don't know, I got a problem... if I should fuck him or fight him.",insult,"00:54:39,970",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
67,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,Fuck,Must be crazy. Fuck him or fight him.,insult,"00:54:44,840",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
68,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fucked,"You're really liable to get fucked with this kid, watch out.",insult,"00:54:48,350",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
69,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,You mean you want me to get him to fuck you?,insult,"00:54:53,390",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
70,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,"- No, I don't want him to fuck me. - I could do that easily.",insult,"00:54:56,690",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
71,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,"I'll get you both in the ring and give yous both a fuckin' beatin',",insult,"00:55:00,490",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
72,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,and you both could fuck each other.,insult,"00:55:02,800",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
73,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,Fuckin,Fuckin' hard-on.,general_expletive,"00:58:52,660",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
74,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,Fuckin,- You've gotta be kiddin'. - Fuckin' thing was hangin' off.,insult,"00:59:15,380",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
75,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,Who the fuck cares?,general_expletive,"00:59:43,610",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
76,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,"You think you're right or somethin', the way you're fuckin' yellin'?",insult,"01:00:30,720",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
77,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,- What the fuck did you marry him for? - 'Cause I love him.,insult,"01:00:49,310",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
78,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,What am I supposed to do? This guy don't even wanna fuck me.,exclamation_shock,"01:00:52,950",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
79,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,You won't have to go fuckin' runnin' around when he does.,insult,"01:01:01,990",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
80,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,Mind your fuckin' business and shut up.,general_expletive,"01:01:23,440",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
81,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,Fuckin,- Fuckin' hard-on! - Get off! Get him off!,insult,"01:01:55,070",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
82,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,"I'll bite your fuckin' head off, ya cocksucker!",insult,"01:01:58,340",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
83,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,"Get outta here, Joey! What the fuck are you doin'?!",insult,"01:02:01,610",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
84,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,Fuckin,Fuckin' cunt.,general_expletive,"01:02:11,260",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
85,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,"Oh, scumbag! I'm gonna suck your fuckin' eyes out!",exclamation_shock,"01:02:15,530",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
86,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,"Hey, you fuckin'... what are you, nuts?!",insult,"01:02:19,300",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
87,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,He's wrong. No fuckin' trouble in the joint.,exclamation_shock,"01:02:28,710",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
88,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,"I said get outta here, ya fuckin' mamone!",general_expletive,"01:02:36,650",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
89,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,"Get back there, ya fuck, ya!",general_expletive,"01:02:39,380",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
90,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fucking,"What are you, fucking nuts? You're killin' me.",insult,"01:04:11,240",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
91,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,"he don't give a fuck, he's gonna do what he wants to do,",exclamation_shock,"01:05:44,070",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
92,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,"Bust her fuckin' hole, throw her out.",insult,"01:07:21,470",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
93,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,"What the fuck you doin'? Hit me, ya fuckin' bum, come on.",insult,"01:10:10,670",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
94,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,"What the fuck you doin'? Hit me, ya fuckin' bum, come on.",insult,"01:10:10,670",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
95,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,What the fuck's the matter with you?,insult,"01:10:29,050",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
96,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,You fuckin' bum! You're takin' a dive in the fourth?,insult,"01:10:51,910",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
97,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,"What the fuck are you waitin' for to stop the fight, ya jerk?!",insult,"01:11:04,890",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
98,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,Fuckin,"- Fuckin' go down, will ya? - The referee stops this bout",general_expletive,"01:11:09,930",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
99,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,"- What the fuck is so hard about that? - Hey, you don't understand.",insult,"01:12:38,550",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
100,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,You don't have to fuckin' pick him up and help him.,insult,"01:12:50,860",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
101,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,"I'm not tellin' her... personally, I don't give a fuck what she eats.",insult,"01:15:12,500",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
102,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,Shut up! I'll fuckin' take care of you later!,insult,"01:17:55,730",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
103,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,"Hit the fuckin' thing, come on!",general_expletive,"01:18:26,360",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
104,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,"Blow on him, he'll fuckin' fall right over for ya.",insult,"01:20:57,720",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
105,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,- Did Salvy fuck Vickie? - What?,exclamation_shock,"01:25:08,570",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
106,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,Did Salvy fuck Vickie?,general_expletive,"01:25:11,070",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
107,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuck,"You're killin' yourself, the way you eat, ya fat fuck!",insult,"01:26:20,900",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
108,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,"Me, kill me! Start here! Kill me first, do me a fuckin' favor!",general_expletive,"01:26:27,850",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
109,7,Raging Bull,Biography,Martin Scorsese,7.0,1981,False,fuckin,"She really did some job on ya, ya know how fuckin' nuts you are?",insult,"01:26:58,740",124,60.17,"The rise and self-destructive fall of middleweight boxing champion Jake LaMotta, whose violent temper destroys his career and relationships.",
